index,C#,CNAME,PERIOD,CREDIT,TEACHER
0,GNED110400,大学生心理健康与自我调适,32.0,2.0,"吴梦瑶,康楠,刘可馨,姚斌"
1,GNED110400,大学生心理健康与自我调适,32.0,2.0,"李红燕,王婷"
2,GNED110400,大学生心理健康与自我调适,32.0,2.0,"闫琼,王婷"
3,SOCP100190,课外实践8学分,0.0,8.0,"刘莹,郑向国"
4,SOCP100190,课外实践8学分,0.0,8.0,"刘莹,雷玉晗,张博"
5,SOCP100190,课外实践8学分,0.0,8.0,"刘莹,杨艳丽,迟凯文"
6,SOCP100190,课外实践8学分,0.0,8.0,"刘莹,梁博,托合提·艾海提,何景丽,吕晔,肖飞"
7,SOCP100190,课外实践8学分,0.0,8.0,"刘莹,吴愿晶,南锋霞,王倩"
8,SOCP100190,课外实践8学分,0.0,8.0,"刘莹,薛变玲,代成军"
9,SOCP100190,课外实践8学分,0.0,8.0,"刘莹,王大军,吴发灿,魏波"
10,SOCP100190,课外实践8学分,0.0,8.0,"刘莹,洪苏涵,潘运亮,赵丹"
11,SOCP100190,课外实践8学分,0.0,8.0,"刘莹,刘恒,孟建芳"
12,GNED106292,大学生创业训练与实践,32.0,2.0,沈人杰
13,GNED106392,大学生职业发展与规划,32.0,2.0,郑旭红
14,GNED106392,大学生职业发展与规划,32.0,2.0,刘朔
15,GNED106392,大学生职业发展与规划,32.0,2.0,"董研林,姬姣姣"
16,GNED106392,大学生职业发展与规划,32.0,2.0,刘春阳
17,GNED106392,大学生职业发展与规划,32.0,2.0,曹宝红
18,GNED106392,大学生职业发展与规划,32.0,2.0,姬姣姣
19,GNED106392,大学生职业发展与规划,32.0,2.0,薛变玲
20,GNED106492,国际化视野及能力培养提升,32.0,2.0,"徐东海,郑旭红,许明"
21,GNED115200,在线开放课程助教,0.0,0.0,教务系统管理员
22,GNED115200,在线开放课程助教,0.0,0.0,教务系统管理员
23,GNED115200,在线开放课程助教,0.0,0.0,教务系统管理员
24,GNED115200,在线开放课程助教,0.0,0.0,教务系统管理员
25,BSIS400121,毕业设计（论文）,128.0,8.0,赵炜
26,INFT500121,计算机基础,16.0,1.0,贾应智
27,JZSJ900121,中国传统文化实践-2,16.0,1.0,孙立滨
28,JZSJ900121,中国传统文化实践-2,16.0,1.0,孙立滨
29,LITE101021,中国概况,32.0,2.0,杨杨
30,LITE101021,中国概况,32.0,2.0,赵炜
31,LITE101121,当代影视鉴赏,32.0,2.0,张知倞
32,LITE101321,简明中国历史,32.0,2.0,路荣
33,LITE101321,简明中国历史,32.0,2.0,李睿
34,LITE200321,汉语综合课2,96.0,6.0,杨杨
35,LITE200521,汉语听说2,64.0,4.0,李馨郁
36,LITE200521,汉语听说2,64.0,4.0,李馨郁
37,LITE302321,口腔医学汉语2,64.0,4.0,海莹
38,LITE302721,汉语听力2,64.0,4.0,冯潇
39,LITE302721,汉语听力2,64.0,4.0,苗渲培
40,LITE302721,汉语听力2,64.0,4.0,马春燕
41,LITE303021,汉语口语2,128.0,8.0,马春燕
42,LITE303021,汉语口语2,128.0,8.0,刘莹
43,LITE303021,汉语口语2,128.0,8.0,周瑜洁
44,LITE303221,综合医学汉语2,64.0,4.0,苗渲培
45,LITE303221,综合医学汉语2,64.0,4.0,周程程
46,LITE303721,综合医学汉语4,64.0,4.0,谈芳
47,LITE303721,综合医学汉语4,64.0,4.0,海莹
48,LITE304421,初级汉语听力2,64.0,4.0,王美玲
49,LITE304621,中级汉语听说2,64.0,4.0,冯潇
50,LITE305021,中级汉语写作2,32.0,2.0,李馨郁
51,LITE305321,基础医学汉语2,64.0,4.0,苗渲培
52,LITE305321,基础医学汉语2,64.0,4.0,张知倞
53,LITE305321,基础医学汉语2,64.0,4.0,周瑜洁
54,LITE305421,初级汉语口语2,96.0,6.0,刘莹
55,LITE305621,综合医学汉语6,64.0,4.0,蒋平福
56,LITE305621,综合医学汉语6,64.0,4.0,周程程
57,LITE305821,中级汉语阅读2,64.0,4.0,刘莹
58,LITE306121,HSK四级综合课,160.0,10.0,谈芳
59,LITE306121,HSK四级综合课,160.0,10.0,周程程
60,LITE306221,口腔医学汉语4,64.0,4.0,李丹丹
61,LITE306321,口腔医学汉语6,64.0,4.0,海莹
62,LITE306821,综合医学汉语8,64.0,4.0,戴艳茹
63,LITE306921,口腔医学汉语8,64.0,4.0,杨伟奇
64,LITE307021,汉语综合-2,64.0,4.0,张知倞
65,LITE401121,初级汉语精读2,160.0,10.0,孙玉茜
66,LITE401421,中级汉语精读2,128.0,8.0,路荣
67,LITE401521,高级汉语综合2,64.0,4.0,刘莹
68,LITE401821,现代汉语2,32.0,2.0,冯潇
69,LITE402321,商务对话-2,64.0,4.0,王美玲
70,LITE402421,商务汉语写作-2,32.0,2.0,李馨郁
71,LITE402621,商务汉语综合-2,96.0,6.0,赵炜
72,LITE501121,中国经济与对外贸易概况,32.0,2.0,杨杨
73,LITE501321,汉字概论,32.0,2.0,李馨郁
74,LITE502121,商务新闻阅读,32.0,2.0,孙玉茜
75,LITE502221,中国古代文学,32.0,2.0,马春燕
76,MATH400121,文科高等数学,64.0,4.0,贾应智
77,AUTO544905,工业社会学,24.0,1.5,陈天宁
78,AUTO544905,工业社会学,24.0,1.5,马富银
79,AUTO544905,工业社会学,24.0,1.5,高建民
80,CORE102600,创新思维和机器人创客实践,48.0,3.0,"张英杰,张政,徐海波"
81,CORE102600,创新思维和机器人创客实践,48.0,3.0,"朱爱斌,李党超,张育林"
