S#,C#,GRADE
2220163322,LITE402321,86.6
2215759603,MACH000101,57.4
JL22281019,MACH391201,null
2195200129,CORE102600,79.6
JL22107007,MACH392401,94.1
2205747004,LITE101321,80.5
2193918066,INDE500801,66.4
2197753307,INDE401501,44.4
2224877439,ITDE500701,81.2
2228390493,LITE402321,63.7
2229271164,LITE306921,70.4
2204576915,MACH000101,77.4
2211104249,LITE305621,81.9
2197819034,FEES400101,77.1
2204576915,LITE101321,85.0
2218248071,INDE500901,82.1
2198475837,INDE901001,90.1
2219493593,MACH392201,76.8
2209971502,INSM401201,77.8
2216944048,LITE401121,83.9
2207748693,MACH390901,66.4
2217915164,GNED100901,73.2
2205512985,GNED106392,54.2
2229426190,LITE305421,87.8
JL22182937,FEES400301,93.9
2200341790,LITE305021,87.9
2229515517,LITE307021,80.2
2226110631,LITE402621,93.8
2216249264,LITE304421,null
2211066800,LITE200321,83.4
2195077237,GNED100701,57.6
2213098491,INDE900301,null
2215488139,INSM502001,36.7
2209971502,INDE400101,96.4
2206251375,MACH390801,46.9
2191864015,INDE401601,76.7
2225678905,INDE500901,52.8
JL22144367,SOCP100190,80.6
2222504770,LITE501321,98.3
2202777748,LITE305021,56.0
2195902015,FEES400501,69.2
2207389931,FEES300101,null
2215374290,MACH000201,null
2206204587,MACH000101,64.1
2227944024,LITE303021,87.6
2219078227,INSM502001,89.3
2192745767,JZSJ900121,null
2204350999,LITE303021,87.8
2219322141,INDE500801,60.0
2224280819,LITE305821,57.5
2227526851,INDE401401,null
2227986592,INDE900801,65.2
JL22291493,LITE307021,null
2195546800,JZSJ900301,97.3
2225460526,LITE402321,66.0
2214802681,AUTO544905,null
2198279568,LITE501121,null
2199509239,LITE303721,86.9
JL22292681,MACH400301,67.4
2191397272,MACH000201,66.6
2192427974,LITE101021,61.0
2203971487,INDE500801,88.3
2218690040,LITE305321,72.7
2213083704,INSM502101,65.8
2204105873,INDE501001,88.2
2216933565,GNED101001,87.9
2213647394,LITE306321,85.9
2190460988,INDE401601,77.5
2200920454,LITE305821,70.9
2192665577,LITE305621,56.6
2214074682,LITE501321,77.0
2208855253,SOCP100190,73.4
2204438425,FEES300101,98.5
2229074325,INSM900101,42.0
2217938597,GNED101001,57.9
2196834156,JZSJ900101,null
2223002853,INSM401801,73.2
2198986021,SOCP100190,91.3
2228142267,ITDE500601,57.6
2222561139,GNED106492,81.7
2214117863,LITE402421,83.8
2214427327,GNED106492,87.9
2223363507,LITE303021,39.4
2192745767,INSM401201,84.5
2215921996,LITE306921,74.4
2221439646,MATH400121,null
2218351535,MACH392301,55.6
2225043354,GNED100401,68.2
2217495436,FEES400501,89.9
2205159699,INSM900101,79.8
2203899597,LITE101021,46.2
JL22112734,MACH392401,93.1
2225439149,LITE200321,89.5
2211706793,LITE401521,null
2204393364,LITE402421,47.8
2214538316,INSM302001,59.7
2194340221,GNED106392,83.7
